"","Name.ID","Name.Alias.es.","Vent.Sites","Activity","Maximum.Temperature","Max.Temperature.Category","Latitude","Longitude","Ocean","Region","National.Jurisdiction","Maximum.or.Single.Reported.Depth","Minimum.Depth","Tectonic.setting","Full.Spreading.Rate..mm.a.","Notes.on.Vent.Field.Description","Notes.Relevant.to.Biology","Year.and.How.Discovered..if.active..visual.confirmation.is.listed.first.","Discovery.References..text.","Other.References..text."
"77","Magic Mountain, 3-km south","","","active, inferred",NA,"",49.725,-130.2667,"N. Pacific","Explorer Ridge","Canada",1850,1800,"mid-ocean ridge",56.3,"used same depth as Magic Mountain; southern Explorer Ridge; Cruise in 2002 with AUV ABE: ""Multiple simultaneous redox potential readings and temperature anomalies as high as 150 millidegrees provided solid evidence of active venting. This site remains unexplored.""; However, this may be ""Vent 1"" in Tunnicliffe et al. (1986)","","2002 AUV ABE plume only","(plume only): Yoerger, D.R. et al. (2007) Mid-ocean ridge exploration with an autonomous underwater vehicle. Oceanography 20(4): 52-61.","Tunnicliffe et al., Deep Sea. Res. A, 33, 401-412, 1986, Hydrothermal vents of Explorer Ridge, northeast Pacific."
"78","Gakkel Ridge, Site 7","","","active, inferred",NA,"",86.9833,55.5,"Arctic","Gakkel Ridge","high seas",3800,NA,"mid-ocean ridge",10.9,"located at E. Volcanic Zone","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712."
"79","Gakkel Ridge, Site 6","","","active, inferred",NA,"",86.5333,43,"Arctic","Gakkel Ridge","high seas",3000,NA,"mid-ocean ridge",11.2,"located at E. Volcanic Zone; Baker et al. (2004): ""Site 6 is likely located near the summit of the 43°E volcanic ridge on the south side of the axial valley ""","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712."
"80","Gakkel Ridge, Site 8","","","active, inferred",NA,"",86.5333,69,"Arctic","Gakkel Ridge","high seas",3500,NA,"mid-ocean ridge",10.6,"depth approximate (GEBCO); located at E. Volcanic Zone","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712."
"81","Gakkel Ridge, Site 5","","","active, inferred",NA,"",86.35,37,"Arctic","Gakkel Ridge","high seas",3600,NA,"mid-ocean ridge",11.3,"located at E. Volcanic Zone","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712."
"82","Gakkel Ridge, 85 E","Site 9, Gakkel Ridge","","active, inferred",NA,"",85.65,84.8333,"Arctic","Gakkel Ridge","high seas",3900,NA,"mid-ocean ridge",10.1,"located at E. Volcanic Zone; ""occurrence in an area of seismic and probably volcanic activity in 1999""; ""The plumes at 85° E, in their thickness, height of rise and magnitude of signals, indicate the most vigorous hydrothermal venting seen anywhere in our survey.""","Pedersen et al. (2010): ""Yellow, fluffy microbial mats were observed at the seafloor at the 85°E site, and these were commonly associated with weak temperature (0.07ºC) and Eh anomalies (80mV) less than 3 meters above the mats. These data suggest that the mats are supported by reducing and slightly warm fluids seeping through cracks in the fresh volcanic terrain""","2001 plume only; 2007 towed video did not confirm activity","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712, (Evidence for explosive eruption) Sohn, R.A. et al. (2008) Explosive volcanism on the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 453: 1236-1238, Pedersen, R. B., et al. (2010) Hydrothermal Activity at the Arctic Mid-Ocean Ridges, in Diversity of Hydrothermal Systems on Slow Spreading Ocean Ridges (eds P. A. Rona, C. W. Devey, J. Dyment and B. J. Murton), American Geophysical Union, Washington, D.C.. doi: 10.1029/2008GM000783"
"83","Gakkel Ridge, 7.5 E","Site 4, Gakkel Ridge","","active, inferred",NA,"",85.0167,7.45,"Arctic","Gakkel Ridge","high seas",3600,NA,"mid-ocean ridge",12.3,"located at Sparse Magmatic Zone; Baker et al. (2004): ""The only identified site located within the ~280-km-long Sparsely Magmatic Zone occurs on an elongate axial ridge centered near 7°30′E in the most peridotite-rich section of the Gakkel Ridge, where dredging found no evidence of volcanic activity ""","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712, (Evidence for explosive eruption) Sohn, R.A. et al. (2008) Explosive volcanism on the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 453: 1236-1238."
"84","Gakkel Ridge, Site 3","","","active, inferred",NA,"",84.4333,2.1333,"Arctic","Gakkel Ridge","Denmark  :  Greenland",4300,NA,"mid-ocean ridge",12.5,"located at W. Volcanic Zone; note: Pedersen lists at 28 8'W","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712."
"85","Gakkel Ridge, Site 2","","","active, inferred",NA,"",83.85,-2,"Arctic","Gakkel Ridge","Denmark  :  Greenland",3900,NA,"mid-ocean ridge",12.7,"located at W. Volcanic Zone; note: Pedersen lists at 28 W; listed as Site 2, 1°45′W, in Baker et al. (2004)","","2001 plume only","(Plume only) Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712."
"86","Aurora","Site 1, Gakkel Ridge","","active, confirmed",NA,"NotProvided",82.8833,-6.25,"Arctic","Gakkel Ridge","Denmark  :  Greenland",4100,3900,"mid-ocean ridge",13.1,"Pedersen et al. (2010): ""massive sulphides were recovered …  where the Lena trough transitions into the Gakkel Ridge... dredged from the southern flank of a saddle in the center of the axial valley at nearly 83 N""; Boetius et al. (2014): ""In 2001, the two-ice-breaker mission AMORE (RV POLARSTERN and USCGC HEALY) detected hydrothermal plumes and evidence for seafloor venting associated with volcanic ridges rising from the rift valley floor of 4.2 km depth (Edmonds et al., 2003; Michael et al., 2003). The AURORA expedition in July 2014 (RV POLARSTERN Cruise PS86) targeted this “Aurora” field at the SW limit of Gakkel Ridge, to investigate its habitats, communities and their energy sources... Using a towed camera-, and multisensor- platform (OFOS) we located active venting as the source of this plume together with inactive chimneys and associated craters on the SW flank of Mt. Aurora.""","abundant macrofauna observed on camera tow","2001 shimmering water in camera tow and sulfide chimney in dredge","Michael et al (2001) The Arctic Mid-Ocean Ridge Expedition -AMORE 2001- Seafloor Spreading at the Top of the World. AGU Fall Meeting 2001, Abstract T11B-0853, Edmonds, H.N. et al. (2003) Discovery of abundant hydrothermal venting on the ultraslow-spreading Gakkel ridge in the Arctic Ocean. Nature 421: 252-256.","Michael et al. (2001) Results of the Arctic Mid-Ocean Ridge Expedition - AMORE 2001- Seafloor Spreading at the Top of the World. InterRidge News 10(2): 57-60, Michael, P.J. et al. (2003) Magmatic and amagmatic seafloor generation at the ultraslow-spreading Gakkel ridge, Arctic Ocean. Nature 423: 956-961, Baker et al., 2004, Geochem. Geophys. Geosyst, 5, Q08002, Hydrothermal venting in magma deserts: The ultraslow-spreading Gakkel and Southwest Indian Ridges, doi:10.1029/2004GC000712., Pedersen, R. B., Thorseth, I. H., NygåRd, T. E., Lilley, M. D. and Kelley, D. S. (2010) Hydrothermal Activity at the Arctic Mid-Ocean Ridges, in Diversity of Hydrothermal Systems on Slow Spreading Ocean Ridges (eds P. A. Rona, C. W. Devey, J. Dyment and B. J. Murton), American Geophysical Union, Washington, D. C.. doi: 10.1029/2008GM000783., Boetius, A., et al. (2014) Exploring the Habitability of Ice-covered Waterworlds: The Deep-Sea Hydrothermal System of the Aurora Mount at Gakkel Ridge, Arctic Ocean (82 54’ N, 6 15'W, 3900 m). AGU Fall Meeting, Abstract B24A-02."
"87","Galapagos Rift, 95.5 W","","","active, inferred",NA,"",2.67,-95.45,"N. Pacific","Galapagos Rift","high seas",3200,NA,"mid-ocean ridge",49.7,"","Hey et al. (1992): ""Biological communities, probably vestimentiferan tubeworms, occur near the top of the outer pseudofault scarp, although no hydrothermal venting was observed.""","1990 submersible Alvin did not confirm activity","[Hey et al., Mar. Geophys. Res. 14, 207-226, 1992, ALVIN investigation of an active propagating rift system, Galapagos 95.5° W.]",""
"88","Galapagos Rift, 94.7 W","","","active, inferred",NA,"",2.6,-94.775,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",2690,NA,"mid-ocean ridge",49.7,"","","2005 plume only","(plume only) Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028.","(plume only - but this location not reported in abstract) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce."
"89","Galapagos Rift, 94.4 W","","","active, inferred",NA,"",2.53,-94.33,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",2400,NA,"mid-ocean ridge",50.9,"","","2005 plume only","(plume only) Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028.","(plume only - but this location not reported in abstract) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce."
"90","Navidad","94 W, Galapagos Rift","Central Elf, East Elf, East Santa's Chimney, West Elf, West Santa's Chimney","active, confirmed",NA,"High",2.53,-94.075,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",2380,NA,"mid-ocean ridge",50.9,"(http://oceanexplorer.noaa.gov/explorations/05galapagos/welcome.html); this field is at the western periphery of the hotspot influence on GSC; Haymon et al. (2008): ""The vent field resides on a small, pillowed AVR constructed on the floor of a 3 km-wide axial graben, and is located ","Riftia tubeworms, crabs","2005 towed video Medea","Haymon R.M., et al., High-resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity, Geochem. Geophys. Geosyst., 9: Q12006, 2008, DOI 10.1029/2008GC002114, Anderson, P et al. (2006) Visual Observations and Geologic Settings of the Newly-Discovered Black Smoker Vent Sites Across the Galapagos Ridge-Hotspot Intersection. AGU Fall Meeting 2006, abstract V23A-0592, (plume only) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce, Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028.","Haymon, R.M. et al. (2007) Hunting for hydrothermal vents along the Galapagos Spreading Center. Oceanography 20(4): 100-107."
"91","Galapagos Rift, 95 W","","","inactive",NA,"NotApplicable",2.5,-95.1667,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",2600,NA,"mid-ocean ridge",49.7,"Mn crusts on fault blocks marginal to axial rift","NotProvided","NotProvided","[Moore & Vogt, Earth Planet. Sci. Lett., 29, 349-356, 1976.]",""
"92","Galapagos Rift, 93.7 W","","","active, inferred",NA,"",2.497,-93.77,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",2220,NA,"mid-ocean ridge",50.9,"","","2005 plume only","(plume only) Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028.","(plume only - but this location not reported in abstract) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce."
"93","Hess Deep","101 W, Galapagos Rift","","inactive",NA,"NotApplicable",2.25,-101.5,"N. Pacific","Galapagos Rift","high seas",5100,NA,"mid-ocean ridge",39.5,"Fe & Mn crust cementing sediments; ridge intersection (Galapagos Rift & EPR)","NotProvided","NotProvided","[Hekinian et al., Econ. Geol., 88, 2099-2121, 1993]","Hayman, N. W., and J. A. Karson (2007), Faults and damage zones in fast-spread crust exposed on the north wall of the Hess Deep Rift: Conduits and seals in seafloor hydrothermal systems, Geochem. Geophys. Geosyst., 8, Q10002, doi:10.1029/2007GC001623."
"94","Iguanas-Pinguinos","92 W, Galapagos Rift","East Pinguinos, Plumeria, Iguanas, Tortuga, West Pinguinos","active, confirmed",NA,"High",2.1,-91.935,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",1640,NA,"mid-ocean ridge",54.2,"Plumeria = first active black smoker found on Galapagos Spreading Center (http://oceanexplorer.noaa.gov/explorations/05galapagos/welcome.html); Iguanas (= cluster of 6, 12-14m high chimneys); Haymon et al. (2008): ""The largest hydrothermal vent field discovered and imaged with Medea during the GalAPAGoS Expedition is the Iguanas-Pinguinos Field, which is located close to the center of hot spot influence ... A total of 21 active smokers distributed in five clusters were imaged with Medea""; located within the Galapagos Marine Reserve (UNESCO Natural World Heritage Site)","fauna sparse","2005 towed video Medea","Haymon R. M., et al. (2008), High-resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q12006, doi:10.1029/2008GC002114, Anderson, P et al. (2006) Visual Observations and Geologic Settings of the Newly-Discovered Black Smoker Vent Sites Across the Galapagos Ridge-Hotspot Intersection. AGU Fall Meeting 2006, abstract V23A-0592, (plume only) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce, Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028.","Haymon, R.M. et al. (2007) Hunting for hydrothermal vents along the Galapagos Spreading Center. Oceanography 20(4): 100-107."
"95","W Eye of Mordor","91 23'W, Galapagos Rift","","inactive",NA,"NotApplicable",1.9707,-91.39,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",1600,NA,"mid-ocean ridge",55.3,"(http://oceanexplorer.noaa.gov/explorations/05galapagos/welcome.html); Anderson et al. (2006): ""Two recently extinct vent fields also were identified at 91º23.4'-23.7'W and 91º13.8'W. ""; located within the Galapagos Marine Reserve (UNESCO Natural World Heritage Site)","NotProvided","2005 towed video Medea observed inactive chimneys","(inactive) Anderson, P et al. (2006) Visual Observations and Geologic Settings of the Newly-Discovered Black Smoker Vent Sites Across the Galapagos Ridge-Hotspot Intersection. AGU Fall Meeting 2006, abstract V23A-0592, (inactive) Haymon R. M., et al. (2008), High-resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q12006, doi:10.1029/2008GC002114.","Haymon, R.M. et al. (2007) Hunting for hydrothermal vents along the Galapagos Spreading Center. Oceanography 20(4): 100-107."
"96","Eye of Mordor Seamount","91.3 W, Galapagos Rift","","active, inferred",NA,"",1.941,-91.31,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",1555,NA,"mid-ocean ridge",55.3,"Haymon et al. (2008): ""detected no hydrothermal activity on the seamount.""; located within the Galapagos Marine Reserve (UNESCO Natural World Heritage Site)","","2005 plume only","(plume only) Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028.","(plume only - but this location not reported in abstract) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce., Haymon R. M., et al. (2008), High-resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q12006, doi:10.1029/2008GC002114"
"97","E Eye of Mordor","91 14'W, Galapagos Rift","","inactive",NA,"NotApplicable",1.9058,-91.231,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",1600,NA,"mid-ocean ridge",55.3,"(http://oceanexplorer.noaa.gov/explorations/05galapagos/welcome.html); Anderson et al. (2006): ""Two recently extinct vent fields also were identified at 91º23.4'-23.7'W and 91º13.8'W. ""; located within the Galapagos Marine Reserve (UNESCO Natural World Heritage Site)","NotProvided","2005 towed video Medea found inactive chimneys","(inactive) Anderson, P et al. (2006) Visual Observations and Geologic Settings of the Newly-Discovered Black Smoker Vent Sites Across the Galapagos Ridge-Hotspot Intersection. AGU Fall Meeting 2006, abstract V23A-0592, (inactive) Haymon R. M., et al. (2008), High-resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q12006, doi:10.1029/2008GC002114.","Haymon, R.M. et al. (2007) Huntign for hydrothermal vents along the Galapagos Spreading Center. Oceanography 20(4): 100-107."
"98","Galapagos Mounds","","","active, confirmed",NA,"Low",1.45,-86.1665,"N. Pacific","Galapagos Rift","high seas",2700,NA,"mid-ocean ridge",63,"Fe & Mn oxide mounds with abundant Fe silicate (nontronite) deposits, off-axis hydrothermal mounds; Williams et al. (1979): ""internal temperatures have been measured at up to 13°C above the bottom water temperature,""; Corliss et al. (1979): ""a visual flow of water with temperatures between 4 and 10 C was initiated by punching holes through the crusts on the mound surfaces"" with Alvin","NotProvided","1977 submersible Alvin","Corliss et al., Science, 203, 1073-1083, 1979, Submarine thermal springs on the Galapagos Rift, Corliss, JB et al. (1978) The chemistry of hydrothermal mounds near the Galapagos rift. Earth and Planetary Science Letters 40, 12–24, [Williams et al. (1979) The hydrothermal mounds of the Galapagos Rift: Observations with DSRV Alvin and detailed heat flow studies. Journal of Geophysical Research 84(B13): 7467-7484.]","[Lalou et al., Ocean. Acta, 7, 261-270, 1984.]"
"99","DSDP Hole 504B","","","inactive",NA,"NotApplicable",1.2267,-83.73,"N. Pacific","Galapagos Rift","high seas",3500,NA,"mid-ocean ridge",65.6,"vein and disseminated sulfides in quartz veins within altered basalt from pillow-dike transition zone (650 m and 1,300 m below bsf); east of Galapagos Rift, south of Costa Rica Rift","NotProvided","NotProvided","[Schops & Herzig, J. Geophys. Res., 95, 8405-8418, 1990.]",""
"100","Precious Stone Mountain","PSMHF","","active, confirmed",NA,"NotProvided",1.22,-101.49,"N. Pacific","Galapagos Rift","high seas",1700,1450,"mid-ocean ridge",32.2,"Tao et al. (2011): 2009 3rd leg of Chinese DY115-21 cruise with R/V Dayangyihao, ""Two new hydrothermal fields were confirmed. One is named Precious Stone Mountain, which is the first hydrothermal field on the GM (Galapagos Microplate). The Precious Stone Mountain hydrothermal field (at 101.49 W, 1.22 N) is located at an off-axial seamount on the southern GM boundary, with a depth from 1450 to 1700m. Hydrothermal fluids emitting from the fissures and hydrothermal fauna were captured by deep-tow video. Few mineral clasts of pyrite and chalcopyrite were separated from one sediment sample, but no sulfide chimney was found yet.""; Li et al. (2014): ""Precious Stone field (PSF) on the Dietz Semount at the southern flank of the Galapagos triple junction""","Tao el al. (2011): ""Hydrothermal fauna such as alive mussels, crabs, shrimps, tubeworms, giant clams, as well as rock samples were collected by TV-Grab.""","2009 deep-tow video and TV grab","Tao, C., et al. (2011) First hydrothermal active vent discovered on the Galapagos Microplate. Abstract OS11B-1488 presented at 2011 Fall Meeting, AGU, San Francisco, Calif., 5-9 Dec.","Chen, S., et al. (2014) A data processing method for MAPR hydrothermal plume turbidity data and its application in the Precious Stone Mountain hydrothermal field. Acta Oceanologica Sinica 33, 34-43, doi:10.1007/s13131-014-0406-9., Li, H. et al. (2014) Seafloor Hydrothermal Activity at the Galapagos Triple Junction, East Pacific Ocean. AGU Fall Meeting, abstract OS53C-1060."
"101","W Los Huellos Caldera","","","active, inferred",NA,"",1,-90.6,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",1600,NA,"mid-ocean ridge",56.7,"Baker et al. (2006): ""Only three areas of extensive and intense plumes were observed: 90.52°-90.63°W,…""; located within the Galapagos Marine Reserve (UNESCO Natural World Heritage Site)","","2005 plume only","(plume only) Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028, (plume only) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce.",""
"102","E Los Huellos Caldera","90 33'W, Galapagos Rift","","active, inferred",NA,"",0.95,-90.53,"N. Pacific","Galapagos Rift","Ecuador  :  Galapagos Islands",1600,1533,"mid-ocean ridge",56.7,"Baker et al. (2006): ""Only three areas of extensive and intense plumes were observed: 90.52°-90.63°W,…""; Haymon et al. (2008): ""On the west rim of the caldera (depth = 1533 m), we found an extensive field of long-extinct mineral deposits and weathered hydrothermal chimneys. No other sites of past or present high-temperature vents were located. Probably there is currently a source of high-temperature focused flow within East Los Huellos Caldera that is producing the detected plume...""; located within the Galapagos Marine Reserve (UNESCO Natural World Heritage Site)","NotProvided","2005 plume only; 2005 towed video Medea did not confirm activity","(plume only) Baker, E. T., et al. (2008), High-resolution surveys along the hot spot–affected Galápagos Spreading Center: 1. Distribution of hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q09003, doi:10.1029/2008GC002028, (plume only) E. Baker et al., Eos Trans. AGU, 87(52), Fall Meet. Suppl., Abstract V14A-06, 2006, Hydrothermal Plume Mapping Along the Hotspot-affected Galapagos Spreading Center Finds High-Temperature Vent Sites are Anomalously Scarce, (inactive only) Haymon R. M., et al. (2008), High-resolution surveys along the hot spot–affected Gálapagos Spreading Center: 3. Black smoker discoveries and the implications for geological controls on hydrothermal activity, Geochem. Geophys. Geosyst., 9, Q12006, doi:10.1029/2008GC002114.","Anderson, P et al. (2006) Visual Observations and Geologic Settings of the Newly-Discovered Black Smoker Vent Sites Across the Galapagos Ridge-Hotspot Intersection. AGU Fall Meeting 2006, abstract V23A-0592, Haymon, R.M. et al. (2007) Hunting for hydrothermal vents along the Galapagos Spreading Center. Oceanography 20(4): 100-107."
